"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"Abilene Christian University","Texas","TX","Private","4 Year",10.35,34.85,45200,34850,45200
"Abraham Baldwin Agricultural College","Georgia","GA","Public","2 Year",8.474,4.128,12602,12550,21024
"Academy of Art University","California","CA","For Profit","4 Year",16.648,27.81,44458,27810,44458
"Adams State University","Colorado","CO","Public","4 Year",8.782,9.44,18222,20456,29238
"Adelphi University","New York","NY","Private","4 Year",16.03,38.66,54690,38660,54690
"Adirondack Community College","New York","NY","Public","2 Year",11.66,5.375,17035,9935,21595
"Adrian College","Michigan","MI","Private","4 Year",11.318,37.087,48405,37087,48405
"Adventist University of Health Sciences","Florida","FL","Private","4 Year",4.2,15.15,19350,15150,19350
"Agnes Scott College","Georgia","GA","Private","4 Year",12.33,41.16,53490,41160,53490
"Alabama Agricultural and Mechanical University","Alabama","AL","Public","4 Year",8.379,9.698,18077,17918,26297
"Alabama State University","Alabama","AL","Public","4 Year",5.422,11.068,16490,19396,24818
"Alaska Bible College","Alaska","AK","Private","4 Year",5.7,9.3,15000,9300,15000
"Alaska Pacific University","Alaska","AK","Private","4 Year",7.3,20.83,28130,20830,28130
"Albany College of Pharmacy and Health Sciences","New York","NY","Private","4 Year",10.92,35.105,46025,35105,46025
"Albany State University","Georgia","GA","Public","4 Year",8.878,6.726,15604,19802,28680
"Albertus Magnus College","Connecticut","CT","Private","4 Year",13.2,32.06,45260,32060,45260
"Albion College","Michigan","MI","Private","4 Year",12.38,45.775,58155,45775,58155
"Albright College","Pennsylvania","PA","Private","4 Year",12.07,45.306,57376,45306,57376
"Alcorn State University","Mississippi","MS","Public","4 Year",9.608,7.144,16752,7144,16752
"Alderson-Broaddus University","West Virginia","WV","Private","4 Year",8.86,27.91,36770,27910,36770
"Alfred University","New York","NY","Private","4 Year",12.516,33.484,46000,33484,46000
"Allegheny College","Pennsylvania","PA","Private","4 Year",12.14,47.54,59680,47540,59680
"Allegheny Wesleyan College","Ohio","OH","Private","4 Year",4,6.4,10400,6400,10400
"Allen College","Iowa","IA","Private","4 Year",7.282,19.97,27252,19970,27252
"Allen County Community College","Kansas","KS","Public","2 Year",5.07,3.15,8220,3150,8220
"Allen University","South Carolina","SC","Private","4 Year",7.23,13.34,20570,13340,20570
"Alma College","Michigan","MI","Private","4 Year",10.998,40.258,51256,40258,51256
"Alverno College","Wisconsin","WI","Private","4 Year",8.546,28.302,36848,28302,36848
"American Academy of Dramatic Arts","New York","NY","Private","2 Year",17.955,35.16,53115,35160,53115
"American Academy of Dramatic Arts: West","California","CA","Private","2 Year",13.255,35.16,48415,35160,48415
"American Baptist College","Tennessee","TN","Private","4 Year",8.64,10.95,19590,10950,19590
"American Indian College of the Assemblies of God","Arizona","AZ","Private","4 Year",6.25,0.958,7208,958,7208
"American International College","Massachusetts","MA","Private","4 Year",14.3,35.68,49980,35680,49980
"American Jewish University","California","CA","Private","4 Year",17.362,31.826,49188,31826,49188
"Amherst College","Massachusetts","MA","Private","4 Year",14.74,56.426,71166,56426,71166
"Ancilla College","Indiana","IN","Private","2 Year",9.6,17.33,26930,17330,26930
"Anderson University","South Carolina","SC","Private","4 Year",9.83,28,37830,28000,37830
"Anderson University","Indiana","IN","Private","4 Year",9.89,30.45,40340,30450,40340
"Andrew College","Georgia","GA","Private","2 Year",10.636,17.388,28024,17388,28024
"Andrews University","Michigan","MI","Private","4 Year",9.078,29.288,38366,29288,38366
"Angelina College","Texas","TX","Public","2 Year",5.5,2.625,8125,5535,11035
"Angelo State University","Texas","TX","Public","4 Year",9.13,8.489,17619,20939,30069
"Anna Maria College","Massachusetts","MA","Private","4 Year",14.63,37.86,52490,37860,52490
"Antioch College","Ohio","OH","Private","4 Year",7.64,35.718,43358,35718,43358
"Appalachian Bible College","West Virginia","WV","Private","4 Year",7.96,14.72,22680,14720,22680
"Appalachian State University","North Carolina","NC","Public","4 Year",8.304,7.214,15518,22021,30325
"Aquinas College","Michigan","MI","Private","4 Year",9.332,32.574,41906,32574,41906
"Arcadia University","Pennsylvania","PA","Private","4 Year",13.8,43.58,57380,43580,57380
"Arizona Christian University","Arizona","AZ","Private","4 Year",10.674,26.796,37470,26796,37470
"Arizona State University","Arizona","AZ","Public","4 Year",12.648,10.822,23470,28336,40984
"Arizona Western College","Arizona","AZ","Public","2 Year",6.7,2.52,9220,9510,16210
"Arkansas Baptist College","Arkansas","AR","Private","4 Year",8.826,8.76,17586,8760,17586
"Arkansas State University","Arkansas","AR","Public","4 Year",8.16,8.608,16768,15298,23458
"Arkansas State University: Beebe","Arkansas","AR","Public","2 Year",5.28,3.6,8880,5760,11040
"Arkansas Tech University","Arkansas","AR","Public","4 Year",7.87,9.068,16938,15848,23718
"Arlington Baptist University","Texas","TX","Private","4 Year",6.5,13.19,19690,13190,19690
"Armstrong State University","Georgia","GA","Public","4 Year",11.385,6.384,17769,19866,31251
"Art Academy of Cincinnati","Ohio","OH","Private","4 Year",6.7,33.889,40589,33889,40589
"Art Institute of Houston","Texas","TX","For Profit","4 Year",9.6,24.024,33624,24024,33624
"Art Institute of Phoenix","Arizona","AZ","For Profit","4 Year",10.928,21.645,32573,21645,32573
"Art Institute of Pittsburgh","Pennsylvania","PA","For Profit","4 Year",2.758,23.376,26134,23376,26134
"ASA College","New York","NY","For Profit","2 Year",9.5,14.065,23565,14065,23565
"Asbury University","Kentucky","KY","Private","4 Year",7.16,30.198,37358,30198,37358
"Ashland University","Ohio","OH","Private","4 Year",9.941,21.342,31283,21342,31283
"Assumption College","Massachusetts","MA","Private","4 Year",12.694,40.958,53652,40958,53652
"Auburn University","Alabama","AL","Public","4 Year",13.332,11.276,24608,30524,43856
"Auburn University at Montgomery","Alabama","AL","Public","4 Year",6.98,10.288,17268,22048,29028
"Augsburg University","Minnesota","MN","Private","4 Year",10.28,38.8,49080,38800,49080
"Augusta University","Georgia","GA","Public","4 Year",9.64,10.758,20398,29796,39436
"Augustana College","Illinois","IL","Private","4 Year",10.572,42.135,52707,42135,52707
"Augustana University","South Dakota","SD","Private","4 Year",8.248,33.018,41266,33018,41266
"Aurora University","Illinois","IL","Private","4 Year",11.7,24.26,35960,24260,35960
"Austin College","Texas","TX","Private","4 Year",12.527,39.985,52512,39985,52512
"Austin Peay State University","Tennessee","TN","Public","4 Year",10.7,8.411,19111,24467,35167
"Ave Maria University","Florida","FL","Private","4 Year",11.436,20.85,32286,20850,32286
"Averett University","Virginia","VA","Private","4 Year",9.976,34.4,44376,34400,44376
"Avila University","Missouri","MO","Private","4 Year",7.2,19.9,27100,19900,27100
"Azusa Pacific University","California","CA","Private","4 Year",10.076,38.88,48956,38880,48956
"Babson College","Massachusetts","MA","Private","4 Year",16.312,51.104,67416,51104,67416
"Baker University","Kansas","KS","Private","4 Year",8.41,29.83,38240,29830,38240
"Baldwin Wallace University","Ohio","OH","Private","4 Year",9.554,32.586,42140,32586,42140
"Ball State University","Indiana","IN","Public","4 Year",10.234,9.896,20130,26468,36702
"Baptist Bible College","Missouri","MO","Private","4 Year",7.5,14.15,21650,14150,21650
"Baptist College of Florida","Florida","FL","Private","4 Year",4.612,12.3,16912,12300,16912
"Baptist College of Health Sciences","Tennessee","TN","Private","4 Year",2.9,14.7,17600,14700,17600
"Baptist Missionary Association Theological Seminary","Texas","TX","Private","4 Year",3.15,6.69,9840,6690,9840
"Baptist University of the Americas","Texas","TX","Private","4 Year",2.5,7.8,10300,7800,10300
"Barclay College","Kansas","KS","Private","4 Year",9.3,19.69,28990,19690,28990
"Bard College","New York","NY","Private","4 Year",15.488,54.68,70168,54680,70168
"Bard College at Simon's Rock","Massachusetts","MA","Private","4 Year",14.916,55.732,70648,55732,70648
"Barnard College","New York","NY","Private","4 Year",17.225,55.032,72257,55032,72257
"Barry University","Florida","FL","Private","4 Year",11.1,29.85,40950,29850,40950
"Barton College","North Carolina","NC","Private","4 Year",10.12,30.88,41000,30880,41000
"Barton County Community College","Kansas","KS","Public","2 Year",5.794,3.44,9234,3440,9234
"Bastyr University","Washington","WA","Private","4 Year",7.59,26.166,33756,26166,33756
"Bates College","Maine","ME","Private","4 Year",15.224,53.794,69018,53794,69018
"Bay College","Michigan","MI","Public","2 Year",3.2,4.83,8030,8910,12110
"Bay Path University","Massachusetts","MA","Private","4 Year",12.799,34.225,47024,34225,47024
"Bay State College","Massachusetts","MA","For Profit","2 Year",13.3,27.75,41050,27750,41050
"Baylor University","Texas","TX","Private","4 Year",12.595,45.727,58322,45727,58322
"Beacon College","Florida","FL","Private","4 Year",11.39,39.016,50406,39016,50406
"Becker College","Massachusetts","MA","Private","4 Year",13.8,39.2,53000,39200,53000
"Beis Medrash Heichal Dovid","New York","NY","Private","4 Year",4.5,9.5,14000,9500,14000
"Belhaven University","Mississippi","MS","Private","4 Year",8.5,25.3,33800,25300,33800
"Bellarmine University","Kentucky","KY","Private","4 Year",12.25,42.2,54450,42200,54450
"Bellevue University","Nebraska","NE","Private","4 Year",8.73,9.39,18120,9390,18120
"Belmont Abbey College","North Carolina","NC","Private","4 Year",10.355,18.5,28855,18500,28855
"Belmont University","Tennessee","TN","Private","4 Year",12.12,34.31,46430,34310,46430
"Beloit College","Wisconsin","WI","Private","4 Year",8.83,50.04,58870,50040,58870
"Bemidji State University","Minnesota","MN","Public","4 Year",8.408,8.696,17104,8696,17104
"Benedict College","South Carolina","SC","Private","4 Year",6.2,16.6,22800,16600,22800
"Benedictine College","Kansas","KS","Private","4 Year",10.3,29.53,39830,29530,39830
"Benedictine University","Illinois","IL","Private","4 Year",9.48,34.29,43770,34290,43770
"Benjamin Franklin Institute of Technology","Massachusetts","MA","Private","2 Year",12.4,18.69,31090,18690,31090
"Bennett College for Women","North Carolina","NC","Private","4 Year",8.114,18.513,26627,18513,26627
"Bennington College","Vermont","VT","Private","4 Year",15.61,54.36,69970,54360,69970
"Bentley University","Massachusetts","MA","Private","4 Year",16.32,49.88,66200,49880,66200
"Berea College","Kentucky","KY","Private","4 Year",6.764,39.99,46754,39990,46754
